Mach,CD Power-On
0.01,0.514114106
0.02,0.522670822
0.03,0.539151875
0.04,0.545716689
0.05,0.548518309
0.06,0.549634454
0.07,0.549910289
0.08,0.54973862
0.09,0.549319872
0.1,0.548763407
0.11,0.548131889
0.12,0.547462518
0.13,0.54677792
0.14,0.546092051
0.15,0.545413558
0.16,0.544747758
0.17,0.544097825
0.18,0.543465557
0.19,0.542851843
0.2,0.542256982
0.21,0.541680883
0.22,0.541123203
0.23,0.540583442
0.24,0.540061003
0.25,0.539555235
0.26,0.539591353
0.27,0.539642623
0.28,0.539708537
0.29,0.539788605
0.3,0.539881854
0.31,0.539988022
0.32,0.540106194
0.33,0.540235969
0.34,0.540377003
0.35,0.540528457
0.36,0.540690202
0.37,0.54086145
0.38,0.54104196
0.39,0.541231488
0.4,0.541429324
0.41,0.541635455
0.42,0.541849212
0.43,0.54207043
0.44,0.542298826
0.45,0.542534268
0.46,0.542776157
0.47,0.543024575
0.48,0.543278942
0.49,0.543539206
0.5,0.543805295
0.51,0.544076695
0.52,0.544353524
0.53,0.544635265
0.54,0.544921917
0.55,0.545213459
0.56,0.545509419
0.57,0.545809799
0.58,0.546114609
0.59,0.546423396
0.6,0.546736341
0.61,0.54800442
0.62,0.54924215
0.63,0.550483672
0.64,0.551728562
0.65,0.55297687
0.66,0.554228488
0.67,0.555483329
0.68,0.556741451
0.69,0.558002451
0.7,0.559266399
0.71,0.560533207
0.72,0.561802806
0.73,0.563075109
0.74,0.564350214
0.75,0.565627723
0.76,0.566907724
0.77,0.568190161
0.78,0.569474966
0.79,0.570762236
0.8,0.572051599
0.81,0.573343149
0.82,0.574636842
0.83,0.575932783
0.84,0.577230592
0.85,0.578530392
0.86,0.579832127
0.87,0.581135758
0.88,0.582441399
0.89,0.583748682
0.9,0.585057732
0.91,0.589036125
0.92,0.600971303
0.93,0.632488079
0.94,0.677618866
0.95,0.722749652
0.96,0.767880439
0.97,0.813011225
0.98,0.858142011
0.99,0.903272798
1,0.948403584
1.01,0.993534371
1.02,1.038665157
1.03,1.083795944
1.04,1.12892673
1.05,1.174057517
1.06,1.176751906
1.07,1.179616536
1.08,1.182640968
1.09,1.185817429
1.1,1.189139815
1.11,1.192602628
1.12,1.196201905
1.13,1.19993384
1.14,1.203795227
1.15,1.207783575
1.16,1.211004846
1.17,1.214319579
1.18,1.217758959
1.19,1.22103164
1.2,1.223671626
1.21,1.226441423
1.22,1.229339967
1.23,1.232365929
1.24,1.23551899
1.25,1.238798133
1.26,1.237618085
1.27,1.235687055
1.28,1.233820274
1.29,1.23201186
1.3,1.230256091
1.31,1.228548245
1.32,1.226883693
1.33,1.225258851
1.34,1.223669708
1.35,1.222113388
1.36,1.22058682
1.37,1.219087383
1.38,1.217612686
1.39,1.21616056
1.4,1.214728803
1.41,1.213315687
1.42,1.211919534
1.43,1.210538699
1.44,1.209171853
1.45,1.207817695
1.46,1.206474807
1.47,1.205142167
1.48,1.203818946
1.49,1.202503888
1.5,1.201196196
1.51,1.199895258
1.52,1.198600007
1.53,1.197310032
1.54,1.196024481
1.55,1.194742944
1.56,1.193464658
1.57,1.192189395
1.58,1.19091646
1.59,1.189645515
1.6,1.188376123
1.61,1.187108003
1.62,1.185840786
1.63,1.184574237
1.64,1.183307943
1.65,1.182041709
1.66,1.180775372
1.67,1.179508572
1.68,1.178241281
1.69,1.176973283
1.7,1.175704277
1.71,1.174434278
1.72,1.173163111
1.73,1.171890719
1.74,1.170616955
1.75,1.169341876
1.76,1.168065064
1.77,1.166786694
1.78,1.165506761
1.79,1.164225065
1.8,1.162941512
1.81,1.161656414
1.82,1.160369492
1.83,1.159080773
1.84,1.157790189
1.85,1.156179774
1.86,1.154438973
1.87,1.152703227
1.88,1.150972288
1.89,1.149246107
1.9,1.147524642
1.91,1.145807549
1.92,1.14409499
1.93,1.14238673
1.94,1.140682632
1.95,1.138982766
1.96,1.137286899
1.97,1.135595104
1.98,1.133907251
1.99,1.132223209
2,1.130542859
2.01,1.129156628
2.02,1.127765065
2.03,1.126377882
2.04,1.124994774
2.05,1.123615834
2.06,1.122240959
2.07,1.120870242
2.08,1.119503678
2.09,1.118141256
2.1,1.116782772
2.11,1.115428418
2.12,1.114078081
2.13,1.112731752
2.14,1.111389525
2.15,1.110051182
2.16,1.108716909
2.17,1.107386696
2.18,1.106060325
2.19,1.104738078
2.2,1.10341974
2.21,1.102105388
2.22,1.100795002
2.23,1.099488662
2.24,1.098186143
2.25,1.09688772
2.26,1.095593167
2.27,1.094302455
2.28,1.093015858
2.29,1.091733143
2.3,1.090454375
2.31,1.089179427
2.32,1.087908659
2.33,1.086641635
2.34,1.08537842
2.35,1.084119272
2.36,1.082864049
2.37,1.081612606
2.38,1.080365108
2.39,1.079121599
2.4,1.07788174
2.41,1.076645878
2.42,1.075413863
2.43,1.074185746
2.44,1.072961474
2.45,1.071740989
2.46,1.070524238
2.47,1.069311463
2.48,1.068102407
2.49,1.066897206
2.5,1.065695702
2.51,1.064498031
2.52,1.063303929
2.53,1.062113729
2.54,1.060927267
2.55,1.059744371
2.56,1.058565173
2.57,1.057389801
2.58,1.056217986
2.59,1.055049751
2.6,1.053885121
2.61,1.052724224
2.62,1.051566779
2.63,1.050413007
2.64,1.049262632
2.65,1.048115769
2.66,1.046972437
2.67,1.045832555
2.68,1.044696136
2.69,1.043563296
2.7,1.042433646
2.71,1.041307301
2.72,1.040184467
2.73,1.039064967
2.74,1.03794859
2.75,1.036835564
2.76,1.035725779
2.77,1.034619157
2.78,1.033515685
2.79,1.032415384
2.8,1.031318242
2.81,1.030224175
2.82,1.029133069
2.83,1.028045032
2.84,1.026959972
2.85,1.025877969
2.86,1.02479874
2.87,1.023722412
2.88,1.022648987
2.89,1.021578315
2.9,1.020510416
2.91,1.019445346
2.92,1.018382893
2.93,1.017323144
2.94,1.016265985
2.95,1.01521147
2.96,1.014159507
2.97,1.013109969
2.98,1.012062923
2.99,1.011018356
3,1.009976244
3.01,1.008994837
3.02,1.00808383
3.03,1.007175165
3.04,1.006268943
3.05,1.005365211
3.06,1.00446386
3.07,1.00356506
3.08,1.002668597
3.09,1.001774713
3.1,1.000883224
3.11,0.999994249
3.12,0.999107823
3.13,0.998223751
3.14,0.997342368
3.15,0.996463376
3.16,0.995586888
3.17,0.994713041
3.18,0.993841564
3.19,0.992972739
3.2,0.992106401
3.21,0.991242591
3.22,0.990381272
3.23,0.989522601
3.24,0.98866647
3.25,0.987812806
3.26,0.98696172
3.27,0.986113225
3.28,0.985267324
3.29,0.984423949
3.3,0.9835831
3.31,0.982744792
3.32,0.981909122
3.33,0.981075917
3.34,0.980245392
3.35,0.979417336
3.36,0.97859188
3.37,0.977769019
3.38,0.976948675
3.39,0.976130834
3.4,0.975315625
