Time(s),Thrust(N)
0.03,519.84512
0.06,534.64201
0.09,549.47752
0.12,564.3453
0.15,579.23895
0.18,594.15204
0.21,609.07808
0.24,624.01055
0.27,638.9429
0.3,653.86855
0.33,668.78088
0.36,683.67328
0.39,698.53907
0.42,713.37161
0.45,728.16422
0.48,742.91022
0.51,757.60293
0.54,772.23567
0.57,786.80175
0.6,801.29452
0.63,815.70733
0.66,830.03354
0.69,844.26653
0.72,858.39971
0.75,872.42653
0.78,886.34047
0.81,900.13502
0.84,913.80374
0.87,927.34022
0.9,940.7381
0.93,953.99108
0.96,967.09291
0.99,980.03738
1.02,992.81838
1.05,1005.42983
1.08,1017.86574
1.11,1030.12019
1.14,1042.18732
1.17,1054.06138
1.2,1065.73668
1.23,1077.20763
1.26,1088.4687
1.29,1099.5145
1.32,1110.33969
1.35,1120.93906
1.38,1131.30749
1.41,1141.43996
1.44,1151.33157
1.47,1160.97752
1.5,1170.37314
1.53,1179.51384
1.56,1188.39519
1.59,1197.01285
1.62,1205.36263
1.65,1213.44044
1.68,1221.24234
1.71,1228.76451
1.74,1236.00326
1.77,1242.95504
1.8,1249.61644
1.83,1255.98418
1.86,1262.05513
1.89,1267.8263
1.92,1273.29484
1.95,1278.45804
1.98,1283.31336
2.01,1287.8584
2.04,1292.09089
2.07,1296.00873
2.1,1299.60998
2.13,1302.89284
2.16,0.0
